,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
639,"Recivalongo - Gestão de Resíduos, Lda.. - Valongo",PT11A,-1,POINT (-8.479543 41.221136),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
640,"Recivalongo - Gestão de Resíduos, Lda.. - Valongo",PT11A,-1,POINT (-8.479543 41.221136),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
641,SC CHIMCOMPLEX SA BORZESTI - Sucursala Ramnicu Valcea - Valcea,RO415,-1,POINT (24.29843 45.039983),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
642,SC CHIMCOMPLEX SA BORZESTI - Sucursala Ramnicu Valcea - Valcea,RO415,-1,POINT (24.29843 45.039983),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
643,SC CHIMCOMPLEX SA BORZESTI - Sucursala Ramnicu Valcea - Valcea,RO415,-1,POINT (24.29843 45.039983),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
644,EGGER TECHNOLOGIA S.R.L. - Radauti,RO215,-1,POINT (25.969034 47.853807),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
645,EGGER TECHNOLOGIA S.R.L. - Radauti,RO215,-1,POINT (25.969034 47.853807),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
646,EGGER TECHNOLOGIA S.R.L. - Radauti,RO215,-1,POINT (25.969034 47.853807),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
647,S.C. KRONOCHEM SEBES S.R.L. - Sebes,RO121,-1,POINT (23.557168 45.970935),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
648,S.C. KRONOCHEM SEBES S.R.L. - Sebes,RO121,-1,POINT (23.557168 45.970935),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
649,S.C. KRONOCHEM SEBES S.R.L. - Sebes,RO121,-1,POINT (23.557168 45.970935),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
650,SC VIROMET SA - Victoria,RO122,-1,POINT (24.705527 45.706953),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
651,SC VIROMET SA - Victoria,RO122,-1,POINT (24.705527 45.706953),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
652,SC VIROMET SA - Victoria,RO122,-1,POINT (24.705527 45.706953),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
653,BI-QEM RESINS AB - Perstorp,SE224,-1,POINT (13.39293 56.12722),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
