,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
776,Grupa Azoty Zakłady Chemiczne POLICE S.A. - Police,PL428,-1,POINT (14.549738 53.570646),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
778,ANWIL S. A. - Włocławek,PL619,-1,POINT (18.968729 52.699563),Fertilisers,fertilisers,274,274,100,fertiliser-ammonia,569045.94,0,0,0,0,0,0,0,0,0,0,7762184.359999999,0,Fertilisers,8808538.299999999,477308
779,ANWIL S. A. - Włocławek,PL619,-1,POINT (18.968729 52.699563),Fertilisers,fertilisers,0,0,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
780,ANWIL S. A. - Włocławek,PL619,-1,POINT (18.968729 52.699563),Fertilisers,fertilisers,1226,1226,100,fertiliser-urea,1009365.8,0,0,0,0,0,0,0,0,0,0,18246889.02,0,Fertilisers,19484290.82,228036.00000000003
782,Grupa Azoty S.A. - Tarnów,PL217,-1,POINT (20.92079 50.014688),Fertilisers,fertilisers,193.45,193.45,100,fertiliser-ammonia,401758.8945,0,0,0,0,0,0,0,0,0,0,5480272.132999999,0,Fertilisers,6219020.9275,336989.89999999997
783,Grupa Azoty S.A. - Tarnów,PL217,-1,POINT (20.92079 50.014688),Fertilisers,fertilisers,0,0,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
784,Grupa Azoty S.A. - Tarnów,PL217,-1,POINT (20.92079 50.014688),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
786,"ADP - Fertilizantes, S.A. - Lavradio",PT170,-1,POINT (-9.055026 38.667004),Fertilisers,fertilisers,0,0,100,fertiliser-ammonia,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
787,"ADP - Fertilizantes, S.A. - Lavradio",PT170,-1,POINT (-9.055026 38.667004),Fertilisers,fertilisers,120,120,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,780434.4,0,Fertilisers,829514.4,49080
788,"ADP - Fertilizantes, S.A. - Lavradio",PT170,-1,POINT (-9.055026 38.667004),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
