"Section";"Class";"Power_level";"Nb_customer"
"G";"46.32";"MV";31
"G";"46.33";"LV-a";0
"G";"46.33";"LV-b";0
"G";"46.33";"MV";68
"G";"46.34";"LV-a";9
"G";"46.34";"LV-b";1
"G";"46.34";"MV";95
"G";"46.35";"LV-a";0
"G";"46.35";"LV-b";0
"G";"46.35";"MV";7
"G";"46.36";"LV-a";0
"G";"46.36";"LV-b";0
"G";"46.36";"MV";6
"G";"46.37";"LV-a";0
"G";"46.37";"LV-b";0
"G";"46.37";"MV";2
"G";"46.38";"LV-a";2
"G";"46.38";"LV-b";6
"G";"46.38";"MV";60
"G";"46.39";"LV-a";3
"G";"46.39";"LV-b";1
"G";"46.39";"MV";205
"G";"46.41";"LV-a";1
"G";"46.41";"LV-b";0
"G";"46.41";"MV";10
"G";"46.42";"LV-a";2
"G";"46.42";"LV-b";2
"G";"46.42";"MV";23
"G";"46.43";"LV-a";3
"G";"46.43";"LV-b";2
"G";"46.43";"MV";12
"G";"46.44";"LV-a";0
"G";"46.44";"LV-b";0
"G";"46.44";"MV";8
"G";"46.45";"LV-a";0
"G";"46.45";"LV-b";3
"G";"46.45";"MV";14
"G";"46.46";"LV-a";2
"G";"46.46";"LV-b";1
"G";"46.46";"MV";66
"G";"46.47";"LV-a";0
"G";"46.47";"LV-b";0
"G";"46.47";"MV";5
"G";"46.48";"LV-a";0
"G";"46.48";"LV-b";1
"G";"46.48";"MV";0
"G";"46.49";"LV-a";9
"G";"46.49";"LV-b";1
"G";"46.49";"MV";43
"G";"46.51";"LV-a";6
"G";"46.51";"LV-b";2
"G";"46.51";"MV";15
"G";"46.52";"LV-a";1
"G";"46.52";"LV-b";3
"G";"46.52";"MV";18
"G";"46.61";"LV-a";9
"G";"46.61";"LV-b";4
"G";"46.61";"MV";20
"G";"46.62";"LV-a";0
"G";"46.62";"LV-b";1
"G";"46.62";"MV";3
"G";"46.63";"LV-a";0
"G";"46.63";"LV-b";1
"G";"46.63";"MV";14
"G";"46.65";"LV-a";1
"G";"46.65";"LV-b";0
"G";"46.65";"MV";2
"G";"46.66";"LV-a";3
"G";"46.66";"LV-b";1
"G";"46.66";"MV";5
"G";"46.69";"LV-a";13
"G";"46.69";"LV-b";9
