"Power_level";"Section";"Class";"Mean";"Sd"
"LV-b";"F";"42.12";22855,4506446458;11863,7852718207
"MV";"F";"42.12";33764,7955516003;16482,6832006909
"MV";"F";"42.13";89110,6810366495;27534,6556251264
"LV-b";"F";"42.21";16568,5231211935;6297,77567387756
"MV";"F";"42.21";18326,6818501126;5053,57152525249
"LV-a";"F";"42.22";662,513235419061;375,534941722909
"MV";"F";"42.22";132119,148962484;73224,0292243918
"MV";"F";"42.91";74036,9569022127;35373,7603115891
"LV-a";"F";"42.99";1733,19680033477;1678,95580306498
"LV-b";"F";"42.99";5603,12652351568;4975,66251091922
"MV";"F";"42.99";23853,0882447837;24655,2893519642
"LV-a";"F";"43.11";444,755007433349;494,439227322881
"MV";"F";"43.11";32390,4799272792;19762,286649659
"LV-a";"F";"43.12";2323,50714367636;1101,33604450348
"LV-b";"F";"43.12";4383,96105806731;3951,08212321826
"MV";"F";"43.12";14581,0977484786;9807,22903447392
"LV-a";"F";"43.21";1134,02417110041;728,603716552144
"LV-b";"F";"43.21";14193,6652904725;7966,72102641284
"MV";"F";"43.21";40974,2408195794;23484,5652117426
"LV-a";"F";"43.22";601,514510534402;380,547233957977
"LV-b";"F";"43.22";25927,1093954955;17868,255121143
"MV";"F";"43.22";78781,2940768178;15662,1455420041
"LV-a";"F";"43.29";543,686630128133;633,826407386558
"MV";"F";"43.29";204671,501510053;90252,5134454562
"LV-a";"F";"43.31";720,802396457676;328,953405403976
"LV-b";"F";"43.31";2726,0525812058;2713,22204100699
"LV-a";"F";"43.32";732,347295074539;483,649391130204
"LV-b";"F";"43.32";5288,38725163344;4477,88131887617
"MV";"F";"43.32";17045,672486662;14797,932982661
"LV-a";"F";"43.33";980,298967326171;674,051175485251
"MV";"F";"43.33";33397,7187338096;20221,0090963733
"LV-a";"F";"43.34";950,089368977104;553,144023348969
"LV-b";"F";"43.34";7355,77916161288;6193,62143931302
"MV";"F";"43.34";34990,3623589098;40534,84668822
"LV-a";"F";"43.39";203,190834419478;342,661958851634
"MV";"F";"43.39";38463,1648809455;9885,99408983502
"LV-a";"F";"43.91";704,603678112707;481,220005476204
"LV-b";"F";"43.91";4063,00107227395;3407,38602348523
"MV";"F";"43.91";33779,9765205082;28701,9321619943
"LV-a";"F";"43.99";835,871848024121;551,632374046576
"LV-b";"F";"43.99";5231,83549574794;2845,53779406483
"MV";"F";"43.99";18023,0928009717;6811,51254363234
"LV-a";"G";"45.11";2487,58479217802;1269,81014063211
"LV-b";"G";"45.11";16004,9403714612;11295,7955168326
"MV";"G";"45.11";41257,6791986951;24672,7668317316
"LV-a";"G";"45.19";1481,15875819776;1733,29295031187
"LV-b";"G";"45.19";5349,73818049679;3553,34351331731
"MV";"G";"45.19";32161,3128260842;22110,4792763841
"LV-a";"G";"45.20";1684,82445679286;1394,64653995247
"LV-b";"G";"45.20";5500,45492806535;5533,07521513312
"MV";"G";"45.20";14791,05575629;7022,27825784854
"LV-a";"G";"45.31";3000,68054975889;2716,49291892573
"LV-b";"G";"45.31";16456,0273661289;10369,4237197578
"MV";"G";"45.31";50352,0301384707;19926,4516446999
"LV-a";"G";"45.32";2067,72057739702;1567,76729462186
"LV-b";"G";"45.32";9392,34045661092;8502,64039876251
"MV";"G";"45.32";90364,1802137351;41865,5927429512
"LV-a";"G";"45.40";767,971185253394;708,264362539455
"MV";"G";"45.40";73346,9980752175;44250,085464252
"LV-a";"G";"46.11";1546,98149563693;1922,13222117173
"MV";"G";"46.11";51377,6576279808;37254,4689162325
"LV-a";"G";"46.12";255,954656046377;133,937272056146
"MV";"G";"46.12";65165,628845625;30973,8928172686
"MV";"G";"46.13";31509,882460994;37488,6047653682
"MV";"G";"46.14";127872,216800572;17946,4321521712
"LV-a";"G";"46.15";36,6895469044649;64,348683966457
"LV-b";"G";"46.15";13299,2589682906;16178,5720851664
"MV";"G";"46.15";26018,9946779225;26720,7165106203
"LV-a";"G";"46.16";686,23815965233;331,900155944016
"MV";"G";"46.16";71338,2411435852;37366,1082711745
"MV";"G";"46.17";163662,229441708;27047,3396868534
"LV-a";"G";"46.18";1547,03965540815;855,877085991694
"MV";"G";"46.18";72954,9215486092;20210,4725109793
"LV-a";"G";"46.19";493,316715405713;485,154754494742
"LV-b";"G";"46.19";14045,6186615966;12068,8103270124
"MV";"G";"46.19";51478,3437834558;23445,9916058978
"LV-a";"G";"46.21";3465,52463156245;1969,53920685089
"LV-b";"G";"46.21";6628,99085143184;3334,01271198344
"MV";"G";"46.21";26515,7537679715;11077,3011582813
"LV-b";"G";"46.22";22628,3637546253;13981,3455448297
"MV";"G";"46.22";71747,3516609283;19430,8986438458
"LV-a";"G";"46.23";37,3688857881416;143,387193600708
"MV";"G";"46.23";33485,5670476213;10247,7194483486
"MV";"G";"46.24";57482,0020964675;19179,3405725723
"LV-a";"G";"46.31";3692,72731821168;1505,14108914954
"LV-b";"G";"46.31";36362,2443668436;10850,4862022215
"MV";"G";"46.31";83200,1407131239;22357,8157287868
"LV-a";"G";"46.32";3360,47347958625;1201,59463960584
"LV-b";"G";"46.32";28934,7112815556;7796,10292449802
"MV";"G";"46.32";71359,7286525481;16328,2259873569
"MV";"G";"46.33";150971,642608135;25763,4980584922
"LV-a";"G";"46.34";580,033836806228;440,646941329309
"LV-b";"G";"46.34";20988,6365726447;11614,7812309282
"MV";"G";"46.34";51639,382414549;21615,4343607377
"MV";"G";"46.35";47997,4199563553;26762,8485832373
"MV";"G";"46.36";350401,531836893;66977,3284424987
"MV";"G";"46.37";21847,0480915934;8704,17465662636
"LV-a";"G";"46.38";7276,7992780277;1690,31004556424
"LV-b";"G";"46.38";20714,6202872692;6323,12751107344
"MV";"G";"46.38";72601,6626829087;13440,3283699346
"LV-a";"G";"46.39";5418,76051780366;1748,48062593651
"LV-b";"G";"46.39";17695,4550682944;3733,36001782128
"MV";"G";"46.39";118338,355197626;24306,3376947069
"LV-a";"G";"46.41";1030,67858007447;1221,52853382362
"MV";"G";"46.41";33996,5251938864;26036,9860050182
"LV-a";"G";"46.42";624,264306865209;683,314066339391
"LV-b";"G";"46.42";14162,0307235794;11657,3409383583
"MV";"G";"46.42";28394,857970894;12594,8218038643
"LV-a";"G";"46.43";1639,14346150774;1311,85395141373
"LV-b";"G";"46.43";10756,3469193726;5300,88446423019
"MV";"G";"46.43";59052,550187049;30683,3131759212
"MV";"G";"46.44";23477,0622580296;11544,9490519406
"LV-b";"G";"46.45";24151,9316487105;14375,3700663844
"MV";"G";"46.45";154267,79853136;56966,2674098675
"LV-a";"G";"46.46";1962,74857034737;1095,09142476121
"LV-b";"G";"46.46";27625,8129223919;20951,4116441113
"MV";"G";"46.46";69352,065768457;16765,4748234301
"MV";"G";"46.47";84207,3525360085;43605,5913394974
"LV-b";"G";"46.48";16614,2598594962;12766,961177941
"LV-a";"G";"46.49";1015,62327098426;784,699659259359
"LV-b";"G";"46.49";958,308231947837;836,214231482114
"MV";"G";"46.49";39971,6400302598;18212,4258417961
"LV-a";"G";"46.51";777,696912736577;460,757288744513
"LV-b";"G";"46.51";12388,754616262;6330,48014785166
"MV";"G";"46.51";131039,066286641;22553,5402648234
"LV-a";"G";"46.52";830,333071250658;720,753171167535
"LV-b";"G";"46.52";14007,8100541382;8274,03564932781
"MV";"G";"46.52";81744,3122423008;26657,3399593391
"LV-a";"G";"46.61";2197,54560484682;1741,25015016014
"LV-b";"G";"46.61";12158,2602804938;8746,26451716659
"MV";"G";"46.61";16863,9617377217;10745,9514030269
"LV-b";"G";"46.62";3378,62377587169;4613,42542535778
"MV";"G";"46.62";25438,1666444483;14956,3407133649
"LV-b";"G";"46.63";18361,8205230291;1407,61239337216
"MV";"G";"46.63";34495,3966702223;33899,516749276
"LV-a";"G";"46.65";154,830466828772;413,82483130371
"MV";"G";"46.65";182949,139324927;96085,9083369132
"LV-a";"G";"46.66";1520,5913736899;908,06769748565
"LV-b";"G";"46.66";7014,57568741816;3799,2914548307
"MV";"G";"46.66";61921,1997537351;18281,1369219114
"LV-a";"G";"46.69";970,74072022348;747,72050077129
"LV-b";"G";"46.69";10358,1930505276;6679,94063581475
"MV";"G";"46.69";55275,2272299279;19741,7213680282
"LV-b";"G";"46.71";11715,7962654344;4528,2314494094
"MV";"G";"46.71";27574,3629502141;11009,0340351237
"LV-b";"G";"46.72";14402,8569129665;12645,5834110657
"MV";"G";"46.72";70517,7109250412;39633,1626129047
"LV-a";"G";"46.73";2462,36064433257;1647,73713753974
"LV-b";"G";"46.73";14724,2654567389;9419,741789006
"MV";"G";"46.73";29394,1251189022;17293,9396903972
"LV-a";"G";"46.74";319,1462347698;271,6135323949
"LV-b";"G";"46.74";13478,1343361636;8375,80707973418
"MV";"G";"46.74";41542,1511068719;25197,1520923363
"LV-a";"G";"46.75";1572,78793273821;889,963990636822
"LV-b";"G";"46.75";9213,42173854499;7312,55452823562
"MV";"G";"46.75";57480,0674662614;13633,2135636027
"LV-a";"G";"46.76";776,485192578603;479,598916630323
