"Power_level";"Section";"Class";"Energy"
"LV-b";"Q";"88.99";86466,906092888
"LV-b";"R";"90.01";30597,1114863547
"LV-b";"R";"90.03";50004,3749009291
"LV-b";"R";"90.04";31030,2426845698
"LV-b";"R";"91.04";462313,205899762
"LV-b";"R";"92.00";386525,75969651
"LV-b";"R";"93.11";248617,258571044
"LV-b";"R";"93.12";93911,92141679
"LV-b";"R";"93.13";82447,878306038
"LV-b";"R";"93.19";356771,25056329
"LV-b";"R";"93.21";60344,2861128684
"LV-b";"R";"93.29";34258,4557032894
"LV-b";"S";"94.11";156764,396499357
"LV-b";"S";"94.12";493724,54399457
"LV-b";"S";"94.20";101791,546652903
"LV-b";"S";"94.91";45910,225689135
"LV-b";"S";"94.99";152108,775404266
"LV-b";"S";"95.22";147044,206948624
"LV-b";"S";"96.01";46497,0541149571
"LV-b";"S";"96.03";39991,756732869
"LV-b";"S";"96.04";48906,2781826348
"LV-b";"S";"96.09";75657,659804181
"LV-b";"T";"97.00";52029,255562506
"LV-b";"U";"99.00";152746,333170289
"MV";"A";"01.11";88394,119685945
"MV";"A";"01.12";54550,6721091591
"MV";"A";"01.13";372324,65770105
"MV";"A";"01.15";164841,415913602
"MV";"A";"01.19";119166,582336065
"MV";"A";"01.21";151780,86559809
"MV";"A";"01.24";152141,457111315
"MV";"A";"01.25";10975,4376006715
"MV";"A";"01.29";501902,709429173
"MV";"A";"01.30";306167,63037045
"MV";"A";"01.41";120662,122887856
"MV";"A";"01.42";55333,5422172667
"MV";"A";"01.43";84057,744260584
"MV";"A";"01.45";52291,8522322859
"MV";"A";"01.46";365765,44346163
"MV";"A";"01.47";441908,29996627
"MV";"A";"01.49";239636,28334225
"MV";"A";"01.5";87105,549616631
"MV";"A";"01.61";142299,564957619
"MV";"A";"01.62";231949,933791652
"MV";"A";"01.64";521399,166780332
"MV";"A";"01.70";59352,39847861
"MV";"A";"02.10";110664,764578875
"MV";"A";"02.20";250296,24562504
"MV";"A";"02.30";695637,04261874
"MV";"A";"02.40";75817,890264598
"MV";"A";"03.21";568979,42322983
"MV";"A";"03.22";1367113,27995986
"MV";"B";"5/6/7/8";339662,420046242
"MV";"C";"10.1";1688165,8130709
"MV";"C";"10.20";1143465,53052894
"MV";"C";"10.3";1681046,0528832
"MV";"C";"10.4";5544851,7421915
"MV";"C";"10.5";2764658,0137197
"MV";"C";"10.61";866802,09625713
"MV";"C";"10.62";33403345,183792
"MV";"C";"10.71";1780654,28663251
"MV";"C";"10.81";2910248,9117208
"MV";"C";"10.89";1606292,50779682
"MV";"C";"10.9";2210875,95689856
"MV";"C";"11.01";503900,99822321
"MV";"C";"11.02";350498,40873311
"MV";"C";"11.05";6640702,0722259
"MV";"C";"11.07";4430033,8851249
"MV";"C";"13.10";851475,53179027
"MV";"C";"13.2/13.3";882669,39225978
"MV";"C";"13.9";709546,75170349
"MV";"C";"14.1";359767,73248094
"MV";"C";"15";428904,4003652
"MV";"C";"16.2";413475,34366002
"MV";"C";"17.11";8973468,6596945
"MV";"C";"17.12";1800046,01526672
"MV";"C";"17.21";1131431,74802413
"MV";"C";"17.22";4649054,5242519
"MV";"C";"18.1";924228,64997091
"MV";"C";"20.11";4555567,6860827
"MV";"C";"20.12";1688457,34678443
