"solution_id","configuration_id","scenario_id","aidres_sector_id","horizon","electricity_[mwh/t]","electricity_[gj/t]","alternative_fuel_mixture_[gj/t]","biomass_[gj/t]","biomass_waste_[gj/t]","coal_[gj/t]","coke_[gj/t]","crude_oil_[gj/t]","hydrogen_[gj/t]","methanol_[gj/t]","ammonia_[gj/t]","naphtha_[gj/t]","natural_gas_[gj/t]","plastic_mix_[gj/t]","alternative_fuel_mixture_[t/t]","biomass_[t/t]","biomass_waste_[t/t]","coal_[t/t]","coke_[t/t]","crude_oil_[t/t]","hydrogen_[t/t]","methanol_[t/t]","ammonia_[t/t]","naphtha_[t/t]","natural_gas_[t/t]","plastic_mix_[t/t]","totex_[eur/t]","opex_var_[eur/t]","co2_allowance_[eur/t]","opex_cst_[eur/t]","opex_[eur/t]","capex_[eur/t]","direct_emission_[tco2/t]","total_emission_[tco2/t]","direct_emission_reduction_[%]","total_emission_reduction_[%]","captured_co2_[tco2/t]","product_name","configuration_name","sector_name"
"97","13","1","2","2030","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","99.03581284","12.77287914","17.85","39.4129337","70.03581284","29","0.119","0.139963146","76.1","73.9","0.608","cement","CEM1-(Afm)CaL","Cement"
"98","13","2","2","2030","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","99.03581284","12.77287914","17.85","39.4129337","70.03581284","29","0.119","0.139963146","76.1","73.9","0.608","cement","CEM1-(Afm)CaL","Cement"
"99","13","3","2","2030","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","99.03581284","12.77287914","17.85","39.4129337","70.03581284","29","0.119","0.139963146","76.1","73.9","0.608","cement","CEM1-(Afm)CaL","Cement"
"100","13","4","2","2030","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","99.03581284","12.77287914","17.85","39.4129337","70.03581284","29","0.119","0.139963146","76.1","73.9","0.608","cement","CEM1-(Afm)CaL","Cement"
"101","13","5","2","2050","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","122.8358128","12.77287914","41.65","39.4129337","93.83581284","29","0.119","0.119719796","76.1","77.7","0.608","cement","CEM1-(Afm)CaL","Cement"
"102","13","6","2","2050","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","122.8358128","12.77287914","41.65","39.4129337","93.83581284","29","0.119","0.119719796","76.1","77.7","0.608","cement","CEM1-(Afm)CaL","Cement"
"103","13","7","2","2050","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","122.8358128","12.77287914","41.65","39.4129337","93.83581284","29","0.119","0.119719796","76.1","77.7","0.608","cement","CEM1-(Afm)CaL","Cement"
"104","13","8","2","2050","0.16869","0.6073","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","122.8358128","12.77287914","41.65","39.4129337","93.83581284","29","0.119","0.119719796","76.1","77.7","0.608","cement","CEM1-(Afm)CaL","Cement"
"105","14","1","2","2030","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","71.87454609","15.72663379","18.75","32.3979123","66.87454609","5","0.125","0.150807828","74.9","71.9","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"106","14","2","2","2030","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","71.87454609","15.72663379","18.75","32.3979123","66.87454609","5","0.125","0.150807828","74.9","71.9","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"107","14","3","2","2030","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","71.87454609","15.72663379","18.75","32.3979123","66.87454609","5","0.125","0.150807828","74.9","71.9","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"108","14","4","2","2030","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","71.87454609","15.72663379","18.75","32.3979123","66.87454609","5","0.125","0.150807828","74.9","71.9","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"109","14","5","2","2050","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","96.87454609","15.72663379","43.75","32.3979123","91.87454609","5","0.125","0.125889808","74.9","76.5","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"110","14","6","2","2050","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","96.87454609","15.72663379","43.75","32.3979123","91.87454609","5","0.125","0.125889808","74.9","76.5","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"111","14","7","2","2050","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","96.87454609","15.72663379","43.75","32.3979123","91.87454609","5","0.125","0.125889808","74.9","76.5","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"112","14","8","2","2050","0.20765","0.74754","4.13431","0","0","0","0","0","0","0","0","0","0","0","0.11708","0","0","0","0","0","0","0","0","0","0","0","96.87454609","15.72663379","43.75","32.3979123","91.87454609","5","0.125","0.125889808","74.9","76.5","0.659","cement","CEM1-(Afm)Oxy-MEA","Cement"
"113","15","1","2","2030","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","84.60889432","13.60653814","15.3","35.70235618","64.60889432","20","0.102","0.124372147","79.5","76.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"114","15","2","2","2030","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","84.60889432","13.60653814","15.3","35.70235618","64.60889432","20","0.102","0.124372147","79.5","76.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"115","15","3","2","2030","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","84.60889432","13.60653814","15.3","35.70235618","64.60889432","20","0.102","0.124372147","79.5","76.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"116","15","4","2","2030","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","84.60889432","13.60653814","15.3","35.70235618","64.60889432","20","0.102","0.124372147","79.5","76.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"117","15","5","2","2050","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","105.0088943","13.60653814","35.7","35.70235618","85.00889432","20","0.102","0.102719796","79.5","80.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"118","15","6","2","2050","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","105.0088943","13.60653814","35.7","35.70235618","85.00889432","20","0.102","0.102719796","79.5","80.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"119","15","7","2","2050","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","105.0088943","13.60653814","35.7","35.70235618","85.00889432","20","0.102","0.102719796","79.5","80.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"120","15","8","2","2050","0.18044","0.64957","3.34437","0","0","0","0","0","0","0","0","0","0","0","0.09471","0","0","0","0","0","0","0","0","0","0","0","105.0088943","13.60653814","35.7","35.70235618","85.00889432","20","0.102","0.102719796","79.5","80.8","0.621","cement","CEM1-(Afm)Oxy-CaL","Cement"
"121","16","1","2","2030","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","126.0223271","23.63758339","69.6","29.7847437","123.0223271","3","0.464","0.475858676","6.9","11.2","0","cement","CEM1-(BMW)","Cement"
"122","16","2","2","2030","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","126.0223271","23.63758339","69.6","29.7847437","123.0223271","3","0.464","0.475858676","6.9","11.2","0","cement","CEM1-(BMW)","Cement"
"123","16","3","2","2030","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","126.0223271","23.63758339","69.6","29.7847437","123.0223271","3","0.464","0.475858676","6.9","11.2","0","cement","CEM1-(BMW)","Cement"
"124","16","4","2","2030","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","126.0223271","23.63758339","69.6","29.7847437","123.0223271","3","0.464","0.475858676","6.9","11.2","0","cement","CEM1-(BMW)","Cement"
"125","16","5","2","2050","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","218.8223271","23.63758339","162.4","29.7847437","215.8223271","3","0.464","0.464","6.9","13.4","0","cement","CEM1-(BMW)","Cement"
"126","16","6","2","2050","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","218.8223271","23.63758339","162.4","29.7847437","215.8223271","3","0.464","0.464","6.9","13.4","0","cement","CEM1-(BMW)","Cement"
"127","16","7","2","2050","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","218.8223271","23.63758339","162.4","29.7847437","215.8223271","3","0.464","0.464","6.9","13.4","0","cement","CEM1-(BMW)","Cement"
"128","16","8","2","2050","0.09882","0.35576","0","0","3.7616","0","0","0","0","0","0","0","0","0","0","0","0.2916","0","0","0","0","0","0","0","0","0","218.8223271","23.63758339","162.4","29.7847437","215.8223271","3","0.464","0.464","6.9","13.4","0","cement","CEM1-(BMW)","Cement"
"129","17","1","2","2030","0.24884","0.89583","0","0","6.06752","0","0","0","0","0","0","0","0","0","0","0","0.47035","0","0","0","0","0","0","0","0","0","17.41246617","44.47772247","-62.85","29.7847437","11.41246617","6","-0.419","-0.389138976","184.1","172.6","0.882","cement","CEM1-(BMW)MEA","Cement"
"130","17","2","2","2030","0.24884","0.89583","0","0","6.06752","0","0","0","0","0","0","0","0","0","0","0","0.47035","0","0","0","0","0","0","0","0","0","17.41246617","44.47772247","-62.85","29.7847437","11.41246617","6","-0.419","-0.389138976","184.1","172.6","0.882","cement","CEM1-(BMW)MEA","Cement"
"131","17","3","2","2030","0.24884","0.89583","0","0","6.06752","0","0","0","0","0","0","0","0","0","0","0","0.47035","0","0","0","0","0","0","0","0","0","17.41246617","44.47772247","-62.85","29.7847437","11.41246617","6","-0.419","-0.389138976","184.1","172.6","0.882","cement","CEM1-(BMW)MEA","Cement"
"132","17","4","2","2030","0.24884","0.89583","0","0","6.06752","0","0","0","0","0","0","0","0","0","0","0","0.47035","0","0","0","0","0","0","0","0","0","17.41246617","44.47772247","-62.85","29.7847437","11.41246617","6","-0.419","-0.389138976","184.1","172.6","0.882","cement","CEM1-(BMW)MEA","Cement"
"133","17","5","2","2050","0.24884","0.89583","0","0","6.06752","0","0","0","0","0","0","0","0","0","0","0","0.47035","0","0","0","0","0","0","0","0","0","-66.38753383","44.47772247","-146.65","29.7847437","-72.38753383","6","-0.419","-0.419","184.1","178.2","0.882","cement","CEM1-(BMW)MEA","Cement"
"134","17","6","2","2050","0.24884","0.89583","0","0","6.06752","0","0","0","0","0","0","0","0","0","0","0","0.47035","0","0","0","0","0","0","0","0","0","-66.38753383","44.47772247","-146.65","29.7847437","-72.38753383","6","-0.419","-0.419","184.1","178.2","0.882","cement","CEM1-(BMW)MEA","Cement"
